player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Vincent, Gabe"		G	MIA	6	19	4	4	21.1	0	0	0	12	2	3	0.5	3	0.5	1	0.2	0	0	41	6.83
"Vonleh, Noah"		"C,F"	CHI	33	89	50	3	56.2	30	24	80	127	3.8	27	0.8	123	3.7	11	0.3	6	0.2	365	11.06
"Vucevic, Nikola"		C	ORL	54	910	428	82	47	146	114	78.1	1052	19.5	202	3.7	596	11	46	0.9	47	0.9	1762	32.63
"Wade, Dean"		F	CLE	12	13	9	2	69.2	1	0	0	20	1.7	2	0.2	19	1.6	2	0.2	4	0.3	71	5.92
"Wagner, Moritz"		C	WAS	37	228	131	23	57.5	82	67	81.7	352	9.5	49	1.3	192	5.2	22	0.6	17	0.5	709	19.16
"Waiters, Dion"		G	LAL	3	26	10	8	38.5	1	0	0	28	9.3	3	1	11	3.7	0	0	2	0.7	42	14
"Walker, Kemba"	Out	G	BOS	50	832	350	165	42.1	225	195	86.7	1060	21.2	247	4.9	204	4.1	47	0.9	25	0.5	1592	31.84
"Walker, Lonnie"		G	SA	53	267	116	29	43.4	53	38	71.7	299	5.6	46	0.9	115	2.2	28	0.5	13	0.2	764	14.42
"Wall, John"		G	HOU																				
"Wallace, Tyrone"		G	ATL	14	44	14	1	31.8	17	11	64.7	40	2.9	13	0.9	22	1.6	7	0.5	1	0.1	161	11.5
"Walton, Derrick"		G	PHI	26	39	18	10	46.2	9	7	77.8	53	2	27	1	16	0.6	7	0.3	0	0	248	9.54
"Wanamaker, Brad"		G	GS	63	318	136	33	42.8	116	108	93.1	413	6.6	158	2.5	124	2	52	0.8	12	0.2	1215	19.29
"Warren, T.J."	Out	F	IND	61	869	460	69	52.9	186	151	81.2	1140	18.7	87	1.4	242	4	70	1.1	27	0.4	1984	32.52
"Washington, P.J."		F	CHA	58	589	268	86	45.5	136	88	64.7	710	12.2	123	2.1	316	5.4	51	0.9	44	0.8	1758	30.31
"Watanabe, Yuta"		G	TOR	16	29	12	3	41.4	8	3	37.5	30	1.9	4	0.3	17	1.1	5	0.3	1	0.1	98	6.13
"Waters, Tremont"		G	BOS	10	35	12	3	34.3	6	6	100	33	3.3	12	1.2	9	0.9	5	0.5	2	0.2	90	9
"Watson, Paul"		F	TOR	5	8	0	0	0	2	1	50	1	0.2	5	1	4	0.8	1	0.2	1	0.2	26	5.2
"Weatherspoon, Quinndary"		G	SA	3	3	0	0	0	0	0	0	0	0	1	0.3	1	0.3	0	0	0	0	15	5
"Westbrook, Russell"		G	WAS	53	1199	568	51	47.4	346	269	77.7	1456	27.5	370	7	426	8	88	1.7	17	0.3	1904	35.92
"White, Coby"		G	CHI	65	792	312	133	39.4	129	102	79.1	859	13.2	175	2.7	230	3.5	49	0.8	6	0.1	1677	25.8
